ID,Has Duplicate,dup_of,Title,Author,Format,Language,Published/Created,Date,Description,Edition
'SCSB-6025386',FALSE,,"[Science : a collection of Russian publications : in the collection of the Slavic & Baltic Division, NYPL].",,Book,Russian,,1900.0,57 items.,
'99125158440406421',FALSE,,Crop science,,Journal,English,"Madison, Wis.: Crop Science Society of America; New York: Springer",1961.0,"Print began with v. 1, published in 1961.",
'995658763506421',FALSE,,Current science,,Journal,English,Bangalore: Current Science Association,1932.0,"v. : ill. ; 25-28 cm.; Vol. 1, no. 1 (July 1932)-",
'99125202610906421',FALSE,,Islam & science,,Journal,English,"Sherwood Park, Alta: Center for Islam and Science",2003.0,"1 online resource; Vol. 1, no. 1 (June 2003)-; Ceased with v. 10, no. 2 (winter 2012).",
'99125173608706421',FALSE,,Pacific science,,Journal,English,Honolulu: University of Hawai'i Press,1947.0,Print began in 1947.,
'9958689083506421',FALSE,,Science,"Clarke, Shirley",Book,English,England: Hodder & Stoughton,1991.0,24 p. : col. ill. ; 28 cm.,
'9922564513506421',FALSE,,Science,"Fuller, Steve, 1959-",Book,English,Buckingham: Open University Press,1997.0,"viii, 159 p. ; 23 cm.",
'SCSB-5194482',FALSE,,Science,"Gillon, Philip, 1913-2003",Book,English,Jerusalem: Israel Digest,1965.0,47 pages : illustrations ; 16 cm.,
'SCSB-11741770',FALSE,,Science,"Kanin, Yuri",Book,English,Moscow: Novosti Press Agency Pub. House,1978.0,"46 p., [20] leaves of plates : ill. (some col.) ; 20 cm.",
'SCSB-8463178',FALSE,,Science,Korea (South). Haeoe Kongbogwan,Book,English,Seoul: The Service,1973.0,95 p. : ill. ; 21 cm.,
'99117283613506421',FALSE,,Science,"McEwan, Ian",Book,English,London: Vintage,2019.0,120 pages ; 18 cm.,
'SCSB-13661861',FALSE,,Science,"Saint-Martin, Arnaud",Book,French,Paris: Anamosa,2020.0,84 pages ; 19 cm.,
'SCSB-6249755',FALSE,,Science,Singapore. Ministry of Education,Book,English,Singapore: Printed by the Govt. Print. Off,1971.0,2 v. 19 x 27 cm.,
