index,ID,has_duplicate,dup_of,title,author,format,language,published,date,description,edition,hashed_ID,hashed_title,hashed_author,hashed_format,hashed_language,hashed_published,hashed_date,hashed_description,hashed_edition,prev_ID,prev_title,prev_author,prev_format,prev_language,prev_published,prev_date,prev_description,prev_edition,ID_hamming_distance,title_hamming_distance,author_hamming_distance,format_hamming_distance,language_hamming_distance,published_hamming_distance,date_hamming_distance,description_hamming_distance,edition_hamming_distance
86,'SCSB-11413497',False,,The second book of modern verse : a selection from the work of contemporaneous American poets,"Rittenhouse, Jessie B. (Jessie Belle), 1869-1948",Book,English,New York [etc.]: Houghton Mifflin Company,1920.0,"1 p. l., [v]-xvi, [3]-240, [3] p. ; 18 cm.",nan,12824079501914828093,76847455447828661,11343461969364338802,3239280228008868087,232641095895406674,12859389874726916652,4611686018495021056,1337255206521489536,11957213470032839208,,,,,,,,,,31,28,32,31,31,33,26,37,25
9,'994704723506421',False,,Ellen Glasgow's reasonable doubts : a collection of her writings,"Glasgow, Ellen, 1873-1945",Book,English,Baton Rouge: Louisiana State University Press,1988.0,"xix, 262 p. : port. ; 24 cm.",nan,12980192654843258220,203934117522178453,224356694564496351,3239280228008868087,232641095895406674,14956518769830430637,10088068942597193729,16515588458154097152,11957213470032839208,'SCSB-11413497',The second book of modern verse : a selection from the work of contemporaneous American poets,"Rittenhouse, Jessie B. (Jessie Belle), 1869-1948",Book,English,New York [etc.]: Houghton Mifflin Company,1920.0,"1 p. l., [v]-xvi, [3]-240, [3] p. ; 18 cm.",nan,24,23,30,0,0,31,13,35,0
88,'99125199098306421',False,,Tree a life story,"Suzuki, David, 1936-",Book,English,Vancouver [B.C.]: Greystone Books,2007.0,1 online resource (201 p.),1st paperback ed.,12063397907220309581,205219957761958716,13549084086027471879,3239280228008868087,232641095895406674,16871731485206513965,2975346111545700,3568830080082548336,14784961528875522534,'994704723506421',Ellen Glasgow's reasonable doubts : a collection of her writings,"Glasgow, Ellen, 1873-1945",Book,English,Baton Rouge: Louisiana State University Press,1988.0,"xix, 262 p. : port. ; 24 cm.",nan,25,22,36,0,0,27,26,32,33
14,'SCSB-8165938',True,'9923282663506421',Flames of faith,"Stidger, William L. (William Le Roy), 1886-",Book,English,"New York, Cincinnati: The Abingdon press",1922.0,204 p. 20 cm.,nan,1106259420834218027,216374303425298912,16325104985369339301,3239280228008868087,232641095895406674,11576210854711789742,4647859462713903618,17919539429726334987,11957213470032839208,'99125199098306421',Tree a life story,"Suzuki, David, 1936-",Book,English,Vancouver [B.C.]: Greystone Books,2007.0,1 online resource (201 p.),1st paperback ed.,33,28,32,0,0,21,19,35,33
13,'9923282663506421',True,'SCSB-4941969',Flames of faith,"Stidger, William L. (William Le Roy), 1885-1949",Book,English,New York: Abingdon Press,1922.0,204 pages ; 20 cm,nan,15378539637277954448,216374303425298912,16325245533343048996,3239280228008868087,232641095895406674,10866120066712680526,4647859462713903618,9354352540164547867,11957213470032839208,'SCSB-8165938',Flames of faith,"Stidger, William L. (William Le Roy), 1886-",Book,English,"New York, Cincinnati: The Abingdon press",1922.0,204 p. 20 cm.,nan,35,0,9,0,0,27,0,31,0
12,'SCSB-4941969',True,'9923282663506421',Flames of faith,"Stidger, William L. (William Le Roy), 1885-1949",Book,English,"New York, Cincinnati: The Abingdon press",1922.0,204 pages ; 20 cm,nan,2069404067463458856,216374303425298912,16325245533343048996,3239280228008868087,232641095895406674,11576210854711789742,4647859462713903618,9354352540164547867,11957213470032839208,'9923282663506421',Flames of faith,"Stidger, William L. (William Le Roy), 1885-1949",Book,English,New York: Abingdon Press,1922.0,204 pages ; 20 cm,nan,36,0,0,0,0,27,0,0,0
90,'SCSB-6463534',True,'SCSB-8174844',Trees & other poems,"Kilmer, Joyce, 1886-1918",Book,English,"Garden City, N.Y.: Doubleday",1914.0,75 p. 20 cm.,nan,2018312102984365698,290926032530428008,2342903382622522707,3239280228008868087,232641095895406674,13990542784574922962,1297599789891207592,10387618519941841672,11957213470032839208,'SCSB-4941969',Flames of faith,"Stidger, William L. (William Le Roy), 1885-1949",Book,English,"New York, Cincinnati: The Abingdon press",1922.0,204 pages ; 20 cm,nan,26,29,33,0,0,31,25,27,0
89,'99125263987906421',False,,Trees & Other Poems,"Kilmer, Joyce",Book,English,Project Gutenberg ; NetLibrary,2000.0,nan,nan,7235455503655265664,290926032530428008,3500317474963113331,3239280228008868087,232641095895406674,12222890559234540925,1300424889980947736,11957213470032839208,11957213470032839208,'SCSB-6463534',Trees & other poems,"Kilmer, Joyce, 1886-1918",Book,English,"Garden City, N.Y.: Doubleday",1914.0,75 p. 20 cm.,nan,29,0,10,0,0,34,23,30,0
75,'9963469093506421',True,9948784643506421,"Science A poem. By Francis Hopkinson, Esq; [Two lines in Latin from Horace].","Hopkinson, Francis, 1737-1791",Book,English,"Philadelphia: Printed by William Dunlap, in Market-Street",1762.0,"iv,[1],6-19,[1]p. ; 4⁰.",nan,12928408800427543828,364742772926461628,16588700293741290160,3239280228008868087,232641095895406674,7430815536434409384,45080044897808,9081654254378375501,11957213470032839208,'99125263987906421',Trees & Other Poems,"Kilmer, Joyce",Book,English,Project Gutenberg ; NetLibrary,2000.0,nan,nan,30,28,35,0,0,35,19,35,0
34,'SCSB-2451081',True,'9925545773506421',Main street : and other poems,"Kilmer, Joyce, 1886-1918",Book,English,New York: George H. Doran company,1917.0,78 pages ; 21 cm,nan,9761494565813456,380754965476097136,2342903382622522707,3239280228008868087,232641095895406674,9702264832087163565,6938297774820582017,2508878283159513664,11957213470032839208,'9963469093506421',"Science A poem. By Francis Hopkinson, Esq; [Two lines in Latin from Horace].","Hopkinson, Francis, 1737-1791",Book,English,"Philadelphia: Printed by William Dunlap, in Market-Street",1762.0,"iv,[1],6-19,[1]p. ; 4⁰.",nan,29,22,35,0,0,34,18,37,0
36,'9925545773506421',True,'SCSB-2451081',"Main street, and other poems","Kilmer, Joyce, 1886-1918",Book,English,New York: George H. Doran company,1917.0,78 p. ; 21 cm.,nan,16450181964809733428,380754965476097136,2342903382622522707,3239280228008868087,232641095895406674,9702264832087163565,6938297774820582017,4648756201191375304,11957213470032839208,'SCSB-2451081',Main street : and other poems,"Kilmer, Joyce, 1886-1918",Book,English,New York: George H. Doran company,1917.0,78 pages ; 21 cm,nan,31,0,0,0,0,0,0,23,0
37,'SCSB-8172823',True,'9925545773506421',"Main street, and other poems","Kilmer, Joyce, 1886-1918",Book,English,New York: George H. Doran company,1917.0,78 p. ; 21 cm.,nan,7818434797025545640,380754965476097136,2342903382622522707,3239280228008868087,232641095895406674,9702264832087163565,6938297774820582017,4648756201191375304,11957213470032839208,'9925545773506421',"Main street, and other poems","Kilmer, Joyce, 1886-1918",Book,English,New York: George H. Doran company,1917.0,78 p. ; 21 cm.,nan,27,0,0,0,0,0,0,0,0
